Timestamp [s],x [m],y [m],z [m],roll [rad],pitch [rad],yaw [rad]
0.0,0.0,0.0,1.0,0.0,-0.0,0.0
0.001,0.0,0.0,1.0,-0.0,0.0,-0.0
0.002,0.0,0.0,1.0,-0.0,0.0,-0.0
0.003,0.0,0.0,1.0,-0.0,0.0,-0.0
0.004,0.0,0.0,1.0,-0.0,0.0,-0.0
0.005,0.0,0.0,1.0,-0.0,1e-05,-0.0
0.006,0.0,0.0,1.0,-0.0,1e-05,-0.0
0.007,0.0,0.0,1.0,-0.0,1e-05,-0.0
0.008,0.0,0.0,1.0,-0.0,1e-05,-0.0
0.009000000000000001,0.0,0.0,1.0,-0.0,2e-05,-0.0
0.01,0.0,0.0,1.0,-0.0,2e-05,-0.0
0.011,0.0,0.0,1.0,-0.0,2e-05,-0.0
0.012,0.0,0.0,1.0,-0.0,3e-05,-0.0
0.013000000000000001,0.0,0.0,1.0,-0.0,3e-05,-0.0
0.014,0.0,0.0,1.0,-0.0,4e-05,-0.0
0.015,0.0,0.0,1.0,-0.0,4e-05,-0.0
0.016,0.0,0.0,1.0,-0.0,5e-05,-0.0
0.017,0.0,0.0,1.0,-0.0,5e-05,-0.0
0.018000000000000002,0.0,0.0,1.0,-0.0,6e-05,-0.0
0.019,0.0,0.0,1.0,-0.0,7e-05,-0.0
0.02,0.0,0.0,1.0,-0.0,7e-05,-0.0
0.021,0.0,0.0,1.0,-0.0,8e-05,-0.0
0.022,0.0,0.0,1.0,-0.0,9e-05,-0.0
0.023,0.0,0.0,1.0,-0.0,0.0001,-0.0
0.024,0.0,0.0,1.0,-0.0,0.0001,-0.0
0.025,0.0,0.0,1.0,-0.0,0.00011,-0.0
0.026000000000000002,0.0,0.0,1.0,-0.0,0.00012,-0.0
0.027,0.0,0.0,1.0,-0.0,0.00013,-0.0
0.028,0.0,0.0,1.0,-0.0,0.00014,-0.0
0.029,0.0,0.0,1.0,-0.0,0.00015,-0.0
0.03,0.0,0.0,1.0,-0.0,0.00016,-0.0
0.031,0.0,0.0,1.0,-0.0,0.00017,-0.0
0.032,0.0,0.0,1.0,-0.0,0.00018,-0.0
0.033,0.0,0.0,1.0,-0.0,0.0002,-0.0
0.034,0.0,0.0,1.0,-0.0,0.00021,-0.0
0.035,0.0,0.0,1.0,-0.0,0.00022,-0.0
0.036000000000000004,0.0,0.0,1.0,-0.0,0.00023,-0.0
0.037,0.0,0.0,1.0,-0.0,0.00025,-0.0
0.038,0.0,0.0,1.0,-0.0,0.00026,-0.0
0.039,0.0,0.0,1.0,-0.0,0.00027,-0.0
0.04,0.0,0.0,1.0,-0.0,0.00029,-0.0
0.041,0.0,0.0,1.0,-0.0,0.0003,-0.0
0.042,0.0,0.0,1.0,-0.0,0.00032,-0.0
0.043000000000000003,0.0,0.0,1.0,-0.0,0.00033,-0.0
0.044,0.0,0.0,1.0,-0.0,0.00035,-0.0
0.045,0.0,0.0,1.0,-0.0,0.00036,-0.0
0.046,0.0,0.0,1.0,-0.0,0.00038,-0.0
0.047,0.0,0.0,1.0,-0.0,0.00039,-0.0
0.048,0.0,0.0,1.0,-0.0,0.00041,-0.0
0.049,0.0,0.0,1.0,-0.0,0.00043,-0.0
0.05,0.0,0.0,1.0,-0.0,0.00045,-0.0
0.051000000000000004,0.0,0.0,1.0,-0.0,0.00046,-0.0
0.052000000000000005,0.0,0.0,1.0,-0.0,0.00048,-0.0
0.053,0.0,0.0,1.0,-0.0,0.0005,-0.0
0.054,0.0,0.0,1.0,-0.0,0.00052,-0.0
0.055,0.0,0.0,1.0,-0.0,0.00054,-0.0
0.056,0.0,0.0,1.0,-0.0,0.00056,-0.0
0.057,0.0,0.0,1.0,-0.0,0.00058,-0.0
0.058,0.0,0.0,1.0,-0.0,0.0006,-0.0
0.059000000000000004,0.0,0.0,1.0,-0.0,0.00062,-0.0
0.06,0.0,0.0,1.0,-0.0,0.00064,-0.0
0.061,0.0,0.0,1.0,-0.0,0.00066,-0.0
0.062,0.0,0.0,1.0,-0.0,0.00068,-0.0
0.063,0.0,0.0,1.0,-0.0,0.0007,-0.0
0.064,0.0,0.0,1.0,-0.0,0.00073,-0.0
0.065,0.0,0.0,1.0,-0.0,0.00075,-0.0
0.066,0.0,0.0,1.0,-0.0,0.00077,-0.0
0.067,0.0,0.0,1.0,-0.0,0.00079,-0.0
0.068,0.0,0.0,1.0,-0.0,0.00082,-0.0
0.069,0.0,0.0,1.0,-0.0,0.00084,-0.0
0.07,0.0,0.0,1.0,-0.0,0.00087,-0.0
0.07100000000000001,0.0,0.0,1.0,-0.0,0.00089,-0.0
0.07200000000000001,0.0,0.0,1.0,-0.0,0.00092,-0.0
0.073,0.0,0.0,1.0,-0.0,0.00094,-0.0
0.074,0.0,0.0,1.0,-0.0,0.00097,-0.0
0.075,0.0,0.0,1.0,-0.0,0.00099,-0.0
0.076,0.0,0.0,1.0,-0.0,0.00102,-0.0
0.077,1e-05,0.0,1.0,-0.0,0.00105,-0.0
0.078,1e-05,0.0,1.0,-0.0,0.00107,-0.0
0.079,1e-05,0.0,1.0,-0.0,0.0011,-0.0
0.08,1e-05,0.0,1.0,-0.0,0.00113,-0.0
0.081,1e-05,0.0,1.0,-0.0,0.00116,-0.0
0.082,1e-05,0.0,1.0,-0.0,0.00119,-0.0
0.083,1e-05,0.0,1.0,-0.0,0.00121,-0.0
0.084,1e-05,0.0,1.0,-0.0,0.00124,-0.0
0.085,1e-05,0.0,1.0,-0.0,0.00127,-0.0
0.08600000000000001,1e-05,0.0,1.0,-0.0,0.0013,-0.0
0.08700000000000001,1e-05,0.0,1.0,-0.0,0.00133,-0.0
0.088,1e-05,0.0,1.0,-0.0,0.00136,-0.0
0.089,1e-05,0.0,1.0,-0.0,0.0014,-0.0
0.09,1e-05,0.0,1.0,-0.0,0.00143,-0.0
0.091,1e-05,0.0,1.0,-0.0,0.00146,-0.0
0.092,1e-05,0.0,1.0,-0.0,0.00149,-0.0
0.093,1e-05,0.0,1.0,-0.0,0.00152,-0.0
0.094,1e-05,0.0,1.0,-0.0,0.00155,-0.0
0.095,1e-05,0.0,1.0,-0.0,0.00159,-0.0
0.096,1e-05,0.0,1.0,-0.0,0.00162,-0.0
0.097,1e-05,0.0,1.0,-0.0,0.00165,-0.0
0.098,1e-05,0.0,1.0,-0.0,0.00169,-0.0
0.099,1e-05,0.0,1.0,-0.0,0.00172,-0.0
0.1,1e-05,0.0,1.0,-0.0,0.00176,-0.0
0.101,2e-05,0.0,1.0,-0.0,0.00179,-0.0
0.10200000000000001,2e-05,0.0,1.0,-0.0,0.00183,-0.0
0.10300000000000001,2e-05,0.0,1.0,-0.0,0.00186,-0.0
0.10400000000000001,2e-05,0.0,1.0,-0.0,0.0019,-0.0
0.105,2e-05,0.0,1.0,-0.0,0.00194,-0.0
0.106,2e-05,0.0,1.0,-0.0,0.00197,-0.0
0.107,2e-05,0.0,1.0,-0.0,0.00201,-0.0
0.108,2e-05,0.0,1.0,-0.0,0.00205,-0.0
0.109,2e-05,0.0,1.0,-0.0,0.00209,-0.0
0.11,2e-05,0.0,1.0,-0.0,0.00212,-0.0
0.111,2e-05,0.0,1.0,-0.0,0.00216,-0.0
0.112,2e-05,0.0,1.0,-0.0,0.0022,-0.0
0.113,2e-05,0.0,1.0,-0.0,0.00224,-0.0
0.114,2e-05,0.0,1.0,-0.0,0.00228,-0.0
0.115,3e-05,0.0,1.0,-0.0,0.00232,-0.0
0.116,3e-05,0.0,1.0,-0.0,0.00236,-0.0
0.117,3e-05,0.0,1.0,-0.0,0.0024,-0.0
0.11800000000000001,3e-05,0.0,1.0,-0.0,0.00244,-0.0
0.11900000000000001,3e-05,0.0,1.0,-0.0,0.00248,-0.0
0.12,3e-05,0.0,1.0,-0.0,0.00252,-0.0
0.121,3e-05,0.0,1.0,-0.0,0.00257,-0.0
0.122,3e-05,0.0,1.0,-0.0,0.00261,-0.0
0.123,3e-05,0.0,1.0,-0.0,0.00265,-0.0
0.124,3e-05,0.0,1.0,-0.0,0.00269,-0.0
0.125,4e-05,0.0,1.0,-0.0,0.00274,-0.0
0.126,4e-05,0.0,1.0,-0.0,0.00278,-0.0
0.127,4e-05,0.0,1.0,-0.0,0.00282,-0.0
0.128,4e-05,0.0,1.0,-0.0,0.00287,-0.0
0.129,4e-05,0.0,1.0,-0.0,0.00291,-0.0
0.13,4e-05,0.0,1.0,-0.0,0.00296,-0.0
0.131,4e-05,0.0,1.0,-0.0,0.003,-0.0
0.132,4e-05,0.0,1.0,-0.0,0.00305,-0.0
0.133,5e-05,0.0,1.0,-0.0,0.00309,-0.0
0.134,5e-05,0.0,1.0,-0.0,0.00314,-0.0
0.135,5e-05,0.0,1.0,-0.0,0.00319,-0.0
0.136,5e-05,0.0,1.0,-0.0,0.00323,-0.0
0.137,5e-05,0.0,1.0,-0.0,0.00328,-0.0
0.138,5e-05,0.0,1.0,-0.0,0.00333,-0.0
0.139,5e-05,0.0,1.0,-0.0,0.00338,-0.0
0.14,6e-05,0.0,1.0,-0.0,0.00342,-0.0
0.14100000000000001,6e-05,0.0,1.0,-0.0,0.00347,-0.0
0.14200000000000002,6e-05,0.0,1.0,-0.0,0.00352,-0.0
0.14300000000000002,6e-05,0.0,1.0,-0.0,0.00357,-0.0
0.14400000000000002,6e-05,0.0,1.0,-0.0,0.00362,-0.0
0.145,6e-05,0.0,1.0,-0.0,0.00367,-0.0
0.146,7e-05,0.0,1.0,-0.0,0.00372,-0.0
0.147,7e-05,0.0,1.0,-0.0,0.00377,-0.0
0.148,7e-05,0.0,1.0,-0.0,0.00382,-0.0
0.149,7e-05,0.0,1.0,-0.0,0.00387,-0.0
0.15,7e-05,0.0,1.0,-0.0,0.00393,-0.0
0.151,7e-05,0.0,1.0,-0.0,0.00398,-0.0
0.152,8e-05,0.0,1.0,-0.0,0.00403,-0.0
0.153,8e-05,0.0,1.0,-0.0,0.00408,-0.0
0.154,8e-05,0.0,1.0,-0.0,0.00413,-0.0
0.155,8e-05,0.0,1.0,-0.0,0.00419,-0.0
0.156,9e-05,0.0,1.0,-0.0,0.00424,-0.0
0.157,9e-05,0.0,1.0,-0.0,0.0043,-0.0
0.158,9e-05,0.0,1.0,-0.0,0.00435,-0.0
0.159,9e-05,0.0,1.0,-0.0,0.0044,-0.0
0.16,9e-05,0.0,1.0,-0.0,0.00446,-0.0
